"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"92";2;1;2;26;2;11950958;11957133;6175;1;2;0
"93";2;1;2;27;3;11957335;11968827;11492;2;3;0
"94";2;9;2;28;1;12187124;12196584;9460;2;2;1
"95";2;9;2;29;2;12196779;12202200;5421;1;1;1
"96";2;9;2;30;3;12202397;12204709;2312;1;1;1
"97";2;3;4;31;1;12278906;12285932;7026;2;2;1
"98";2;3;4;32;2;12286127;12305363;19236;3;2;0
"99";2;3;4;33;3;12305564;12309480;3916;1;1;1
"100";2;24;1;34;1;12384668;12392177;7509;3;3;1
"101";2;24;1;35;2;12392373;12400552;8179;3;1;0
"102";2;24;1;36;3;12400742;12403700;2958;1;1;1
"103";2;16;1;37;1;12545822;12551462;5640;3;3;1
"104";2;16;1;38;2;12551680;12557778;6098;3;1;0
"105";2;16;1;39;3;12557995;12560228;2233;1;1;1
"106";2;7;8;40;1;12747041;12753063;6022;2;2;1
"107";2;7;8;41;2;12753261;12759555;6294;3;3;1
"108";2;7;8;42;3;12759752;12762179;2427;1;1;1
"109";2;13;6;43;1;12824609;12830635;6026;1;1;1
"110";2;13;6;44;2;12830839;12837076;6237;2;2;1
"111";2;13;6;45;3;12837283;12839802;2519;1;1;1
"112";2;2;3;46;1;12925124;12932840;7716;3;1;0
"113";2;2;3;47;2;12933057;12938098;5041;2;2;1
"114";2;2;3;48;3;12938310;12941656;3346;1;1;1
"115";2;4;5;49;1;13006842;13019279;12437;3;2;0
"116";2;4;5;50;2;13019476;13028595;9119;3;1;0
"117";2;4;5;51;3;13028789;13031704;2915;2;2;1
"118";2;5;6;52;1;13102885;13108858;5973;1;1;1
"119";2;5;6;53;2;13109058;13120076;11018;1;1;1
"120";2;5;6;54;3;13120273;13139657;19384;3;1;0
"121";2;6;7;55;1;13323296;13338776;15480;3;3;1
"122";2;6;7;56;2;13338972;13344861;5889;1;1;1
"123";2;6;7;57;3;13345053;13348016;2963;2;1;0
"124";2;20;5;58;1;13433191;13441972;8781;3;1;0
"125";2;20;5;59;2;13442171;13462396;20225;3;2;0
"126";2;20;5;60;3;13462596;13466720;4124;2;2;1
"127";2;21;6;61;1;13532903;13542918;10015;1;1;1
"128";2;21;6;62;2;13543116;13547994;4878;1;1;1
"129";2;21;6;63;3;13548189;13551535;3346;2;2;1
"130";2;12;5;64;1;13630615;13636923;6308;3;1;0
"131";2;12;5;65;2;13637121;13643414;6293;3;2;0
"132";2;12;5;66;3;13643609;13650355;6746;2;1;0
"133";2;22;7;67;1;13720945;13728694;7749;3;2;0
"134";2;22;7;68;2;13728892;13733921;5029;1;2;0
"135";2;22;7;69;3;13734116;13737753;3637;1;1;1
"136";2;10;3;70;1;13885496;13889730;4234;3;3;1
"137";2;10;3;71;2;13889926;13895499;5573;2;2;1
"138";2;10;3;72;3;13895687;13900922;5235;1;1;1
"139";2;18;3;73;1;13991825;13999018;7193;3;3;1
"140";2;18;3;74;2;13999217;14006576;7359;2;1;0
"141";2;18;3;75;3;14006778;14019076;12298;2;3;0
"142";2;14;7;76;1;14083736;14088416;4680;3;1;0
"143";2;14;7;77;2;14088603;14096348;7745;2;2;1
"144";2;14;7;78;3;14096545;14099532;2987;1;1;1
"145";3;22;8;7;1;23760817;23771538;10721;1;3;0
"146";3;22;8;8;2;23771741;23778938;7197;3;2;0
"147";3;22;8;9;3;23779138;23782177;3039;1;1;1
"148";3;16;2;10;1;23842080;23850227;8147;1;1;1
"149";3;16;2;11;2;23850432;23865275;14843;2;3;0
"150";3;16;2;12;3;23865479;23868917;3438;1;1;1
"151";3;18;4;13;1;24022160;24029545;7385;1;1;1
"152";3;18;4;14;2;24029748;24039744;9996;3;2;0
"153";3;18;4;15;3;24039945;24043211;3266;2;2;1
"154";3;6;8;16;1;24114978;24117865;2887;1;2;0
"155";3;6;8;17;2;24118061;24120608;2547;3;2;0
"156";3;6;8;18;3;24120813;24123550;2737;2;2;1
"157";3;10;4;19;1;24286563;24292395;5832;1;1;1
"158";3;10;4;20;2;24292599;24301003;8404;3;1;0
"159";3;10;4;21;3;24301204;24304020;2816;1;1;1
"160";3;5;7;22;1;24397962;24404290;6328;3;2;0
"161";3;5;7;23;2;24404493;24410524;6031;1;1;1
"162";3;5;7;24;3;24410726;24413965;3239;3;3;1
"163";3;3;5;25;1;24471644;24479938;8294;3;2;0
"164";3;3;5;26;2;24480144;24484296;4152;3;2;0
"165";3;3;5;27;3;24484500;24487521;3021;1;1;1
"166";3;19;5;28;1;24686615;24695655;9040;3;2;0
"167";3;19;5;29;2;24695854;24701413;5559;3;3;1
"168";3;19;5;30;3;24701617;24704254;2637;2;2;1
"169";3;17;3;31;1;24779001;24784160;5159;3;1;0
"170";3;17;3;32;2;24784360;24789609;5249;1;1;1
"171";3;17;3;33;3;24789806;24793485;3679;1;1;1
"172";3;20;6;34;1;24859838;24864841;5003;1;1;1
"173";3;20;6;35;2;24865038;24870199;5161;2;1;0
"174";3;20;6;36;3;24870394;24875566;5172;2;2;1
"175";3;4;6;37;1;24933540;24939590;6050;2;3;0
