"";"condition";"launch_M";"launch_SD";"lineStartLand_M";"lineStartLand_SD";"undersweep_M";"undersweep_SD"
"1";"Normal";57,3;20,3973549247251;7,18;4,62254386460305;0,605;0,488967224147122
"2";"Bold";57;20,5860943146991;6,62;4,2935041834486;0,556;0,496934077169088
