"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"Var1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"14";"15"
"Freq";" 0.63";" 6.90";"19.75";"15.36";"14.11";"13.48";"13.48";" 6.90";" 5.64";" 2.19";" 0.63";" 0.63";" 0.31"
