"","Item","Ambiguity","SpaNwords","SocNwords","SpaF-K","SocF-K","SpaMeanWordLength","SocMeanWordLength","SpaMeanWordFrequency","SocMeanWordFrequency"
"1",1,"y",93,88,10.6968695652174,9.50404651162791,4.8695652173913,4.51162790697674,5.70467391304348,5.92369047619048
"2",2,"y",102,110,8.14,6.91453271028038,4.3,4.19626168224299,6.0479,5.88283018867924
"3",3,"y",92,91,9.41426086956522,10.5886235955056,4.71428571428571,4.51685393258427,5.77455555555556,5.76522727272727
"4",4,"y",105,103,6.57101941747573,7.00470588235294,4.2621359223301,4.01960784313725,5.86640776699029,6.06666666666667
"5",5,"y",88,100,11.1194545454545,10.0107878787879,4.95454545454545,4.57575757575758,5.64590909090909,5.73948979591837
"6",6,"y",92,77,6.80739130434783,8.668,4.34782608695652,4.84,6.00633333333333,5.57575342465753
"7",7,"y",102,86,8.29394059405941,8.38604651162791,4.64,4.95348837209302,5.82171717171717,5.72813953488372
"8",8,"y",103,90,7.58313725490196,6.76803370786517,4.33333333333333,4.28089887640449,5.98127450980392,5.81363636363636
"9",9,"y",102,92,7.44542857142858,8.36514285714286,4.49,4.26373626373626,5.84418367346939,5.86155555555556
"10",10,"y",90,85,10.3234550561798,8.21819512195122,4.68181818181818,4.3780487804878,5.92137931034483,5.78160493827161
"11",11,"y",90,104,7.26211235955056,7.33181148748159,4.38202247191011,4.45360824742268,5.8783908045977,5.93329787234043
"12",12,"y",88,83,7.20059770114942,9.24158536585366,4.35632183908046,4.34567901234568,5.92411764705882,5.81220779220779
"13",13,"y",111,88,6.86747706422019,7.83,4.07339449541284,4.35227272727273,5.99935779816514,5.99113636363636
"14",14,"y",106,109,8.55809523809524,6.58369158878505,4.31428571428571,3.8785046728972,5.91902912621359,6.06242718446602
"15",15,"y",97,95,9.5821052631579,11.1494680851064,4.55434782608696,4.28723404255319,5.76174418604651,5.93118279569893
"16",16,"y",93,97,6.80739130434783,9.30055913978495,4.43478260869565,4.44086021505376,5.94835164835165,5.86438202247191
"17",17,"y",97,98,5.55623711340206,6.6019145802651,3.95833333333333,4.51546391752577,6.16711111111111,5.80075268817204
"18",18,"y",98,101,8.3595918367347,7.33181148748159,4.64948453608247,4.58947368421053,5.77604166666667,5.80681318681319
"19",19,"y",107,88,6.55094339622642,7.70441176470588,4.13333333333333,4.54117647058824,6.1565,5.70493975903614
"20",20,"y",106,103,7.41785714285714,7.314,4.34285714285714,3.96,6.0071568627451,5.95494736842105
"21",21,"y",98,92,9.20244897959184,7.96129213483146,4.76530612244898,4.75280898876404,5.8780612244898,5.84786516853933
"22",22,"y",100,89,7.03510204081633,6.01216954022989,4.48979591836735,4.51724137931035,5.99102040816327,5.79776470588235
"23",23,"y",94,101,8.21844086021505,9.556,4.8494623655914,4.38,5.77076923076923,5.98427083333333
"24",24,"y",105,101,7.9797619047619,8.52032989690722,4.4,4.29896907216495,5.73371428571429,6.00494736842105
"25",25,"y",103,84,8.13914563106797,7.64258536585366,4.0873786407767,4.64634146341463,5.97854368932039,5.819875
"26",26,"y",102,90,4.99159830268741,9.08090909090909,4.03960396039604,4.31818181818182,6.0307,5.87337209302326
"27",1,"n",93,88,10.6968695652174,9.50404651162791,4.8804347826087,4.51162790697674,5.71119565217391,5.91166666666667
"28",2,"n",102,108,8.14,6.94115384615385,4.3,4.19230769230769,6.0456,5.86156862745098
"29",3,"n",94,92,9.31646808510638,10.6227777777778,4.64516129032258,4.46666666666667,5.80597826086957,5.78662921348315
"30",4,"n",105,100,6.57101941747573,7.05510101010101,4.27184466019417,4.11111111111111,5.87320388349515,6.03616161616162
"31",5,"n",88,101,11.1194545454545,10.028,4.95454545454545,4.56,5.64852272727273,5.7210101010101
"32",6,"n",91,75,6.79313186813187,8.69304109589041,4.37362637362637,4.87671232876712,5.99595505617977,5.54267605633803
"33",7,"n",101,89,8.14,9.02196629213483,4.60606060606061,4.96629213483146,5.83632653061224,5.74269662921348
"34",8,"n",102,92,7.68193069306931,7.17333333333334,4.36633663366337,4.36666666666667,5.96950495049505,5.75647727272727
"35",9,"n",102,91,7.44542857142858,8.34333333333333,4.49,4.3,5.8465306122449,5.84325842696629
"36",10,"n",90,85,10.3234550561798,8.35516049382716,4.67045454545455,4.35802469135802,5.91333333333333,5.77481012658228
"37",11,"n",92,103,7.19810989010989,7.2127380952381,4.31868131868132,4.52083333333333,5.9085393258427,5.90247311827957
"38",12,"n",93,81,6.66346153846154,9.1725,4.5,4.37974683544304,5.88862068965517,5.8048
"39",13,"n",111,85,6.86747706422019,7.98205882352941,4.06422018348624,4.49411764705882,5.99293577981651,5.93647058823529
"40",14,"n",107,106,8.5968679245283,6.51880952380953,4.29245283018868,3.9047619047619,5.93201923076923,6.06009803921569
"41",15,"n",97,96,9.5821052631579,11.275,4.55434782608696,4.30851063829787,5.75906976744186,5.92032608695652
"42",16,"n",93,99,6.80739130434783,9.31646808510638,4.44565217391304,4.53191489361702,5.95604395604396,5.85224719101124
"43",17,"n",96,97,5.4,6.4752380952381,3.96842105263158,4.52083333333333,6.17415730337079,5.78967391304348
"44",18,"n",98,98,8.3595918367347,6.8033552631579,4.62886597938144,4.63440860215054,5.77447916666667,5.76866666666667
"45",19,"n",107,88,6.55094339622642,7.56558823529412,4.14285714285714,4.52941176470588,6.1635,5.71144578313253
"46",20,"n",105,104,7.28153846153846,7.196,4.35576923076923,3.96,6.01178217821782,5.95042553191489
"47",21,"n",98,91,9.20244897959184,7.96409090909091,4.76530612244898,4.77272727272727,5.88040816326531,5.85306818181818
"48",22,"n",100,88,7.03510204081633,5.87653735632184,4.47959183673469,4.54022988505747,5.98387755102041,5.8
"49",23,"n",96,98,8.09868421052632,9.49352577319588,4.77894736842105,4.4020618556701,5.80193548387097,5.96451612903226
"50",24,"n",107,99,7.68649532710281,8.49175,4.30841121495327,4.34375,5.78598130841122,6.00115789473684
"51",25,"n",103,82,8.13914563106797,7.62676543209877,4.09708737864078,4.69135802469136,5.98533980582524,5.803875
"52",25,"n",102,90,4.99159830268741,9.08090909090909,4.03960396039604,4.31818181818182,6.0307,5.87337209302326
